[Reply error]2021/11/26 13:18:52.108195 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:52.108321 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:52.108462 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:52.108620 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:52.108783 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:18:52.108963 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:01.240638 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:01.240859 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:01.241173 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:01.241323 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:01.241469 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:16.160050 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Commit error]2021/11/26 13:19:24.514866 /root/study/github_repository/pbft/pbft_commit.go:83: the sequenceID of prepare message is wrong!
[Commit error]2021/11/26 13:19:24.515071 /root/study/github_repository/pbft/pbft_commit.go:83: the sequenceID of prepare message is wrong!
[Commit error]2021/11/26 13:19:24.515627 /root/study/github_repository/pbft/pbft_commit.go:83: the sequenceID of prepare message is wrong!
[Reply error]2021/11/26 13:19:25.081781 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:25.082059 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:25.082281 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:25.082456 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:25.082608 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:25.082785 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:25.083239 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:34.112175 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:34.112381 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:34.112572 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:34.113070 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:34.113371 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:34.113507 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
[Reply error]2021/11/26 13:19:34.113643 /root/study/github_repository/pbft/pbft_reply.go:84: the sequenceID of commit message is wrong!
